name,team,position,cap_number_17_18,cap_number_18_19,salary_17_18,salary_18_19,salary_19_20,salary_20_21,salary_21_22
"Calvert, Matt",CLB,Left,2.200,0.000,2.900,UFA,,,
"Bouma, Lance",CGY,Center,2.200,0.000,2.300,UFA,,,
"Hickey, Thomas",NYI,Defence,2.200,0.000,3.100,UFA,,,
"Seidenberg, Dennis",BOS,Defence,2.167,2.167,2.167,1.167,1.167,,
"Matthias, Shawn",WPG,Center,2.125,0.000,2.125,UFA,,,
"Schlemko, David",SJS,Defence,2.100,2.100,2.250,1.850,1.800,UFA,
"Cole, Ian",PIT,Defence,2.100,0.000,2.500,UFA,,,
"Richardson, Brad",ARI,Center,2.083,0.000,2.250,UFA,,,
"Sheahan, Riley",DET,Center,2.075,0.000,2.075,RFA,,,
"Roussel, Antoine",DAL,Left,2.000,0.000,2.400,UFA,,,
"Lewis, Trevor",LAK,Center,2.000,2.000,2.000,2.000,2.000,UFA,
"Karlsson, Melker",SJS,Center,2.000,2.000,2.000,2.000,2.000,UFA,
"Jarnkrok, Calle",NAS,Center,2.000,2.000,1.800,2.100,2.200,2.200,2.000
"Zucker, Jason",MIN,Left,2.000,0.000,2.000,RFA,,,
"Wilson, Tom",WAS,Right,2.000,0.000,2.250,RFA,,,
"Fehr, Eric",TOR,Center,2.000,0.000,2.000,UFA,,,
"Tyutin, Fedor",CLB,Defence,1.958,1.958,1.958,1.458,1.458,,
"Ribeiro, Mike",ARI,Center,1.944,1.944,1.944,1.944,1.944,,
"Juolevi, Olli",VAN,Defence,1.944,1.944,0.925,0.925,0.833,RFA,
"Namestnikov, Vladislav",TBL,Center,1.938,0.000,1.975,RFA,,,
"Donskoi, Joonas",SJS,Right,1.900,1.900,1.900,1.900,UFA,,
"Baertschi, Sven",VAN,Left,1.850,0.000,2.000,RFA,,,
"Carle, Matthew",TBL,Defence,1.833,1.833,1.833,1.833,1.833,,
"Glendening, Luke",DET,Center,1.800,1.800,2.000,2.000,1.700,1.500,UFA
"Letestu, Mark",EDM,Center,1.800,0.000,1.800,UFA,,,
"Aaltonen, Miro",TOR,Center,1.775,0.000,0.925,RFA,,,
"Poolman, Tucker",WPG,Defence,1.775,0.000,0.925,RFA,,,
"Connor, Kyle",WPG,Left,1.775,1.775,0.925,0.925,RFA,,
"Welinski, Andy",ANA,Defence,1.775,0.000,0.925,RFA,,,
"Miska, Hunter",ARI,Goaltender,1.775,1.775,0.925,0.925,RFA,,
"Hanifin, Noah",CAR,Defence,1.775,0.000,0.925,RFA,,,
"Tkachuk, Matthew",CGY,Left,1.775,1.775,0.925,0.925,RFA,,
"Aho, Sebastian",CAR,Right,1.775,1.775,0.925,0.925,RFA,,
"Kaskisuo, Kasimir",TOR,Goaltender,1.775,0.000,0.925,RFA,,,
"Werenski, Zachary",CLB,Defence,1.775,1.775,0.925,0.925,RFA,,
"Moore, Trevor",TOR,Center,1.775,1.775,0.925,0.925,RFA,,
"Bereglazov, Alexei",NYR,Defence,1.775,1.775,0.925,0.925,RFA,,
"Pionk, Neal",NYR,Defence,1.775,1.775,0.925,0.925,RFA,,
"Ros\u00e9n, Calle",TOR,Left,1.775,1.775,0.925,0.925,RFA,,
"Borgman, Andreas",TOR,Defence,1.775,1.775,0.925,0.925,RFA,,
"Antipin, Viktor",BUF,Defence,1.775,0.000,0.925,RFA,,,
"Beagle, Jay",WAS,Right,1.750,0.000,1.750,UFA,,,
"Vermette, Antoine",ANA,Center,1.750,0.000,1.750,UFA,,,
"Sergachev, Mikhail",MTL,Defence,1.744,1.744,0.925,0.925,0.833,RFA,
"Nylander, William",TOR,Center,1.744,0.000,0.833,RFA,,,
"Virtanen, Jake",VAN,Right,1.744,0.000,0.833,RFA,,,
"Provorov, Ivan",PHI,Defence,1.744,1.744,0.925,0.833,RFA,,
"Marner, Mitchell",TOR,Center,1.744,1.744,0.925,0.833,RFA,,
"Zacha, Pavel",NJD,Center,1.744,1.744,0.925,0.833,RFA,,
"Nylander, Alexander",BUF,Left,1.744,1.744,0.925,0.925,0.833,RFA,
"Nurse, Darnell",EDM,Defence,1.713,0.000,0.833,RFA,,,
"Fleury, Haydn",CAR,Defence,1.713,1.713,0.833,0.833,RFA,,
"Jost, Tyson",COL,Center,1.704,1.704,0.925,0.925,RFA,,
"McNabb, Brayden",LAK,Defence,1.700,0.000,1.800,UFA,,,
"Gurianov, Denis",DAL,Left,1.675,1.675,0.925,0.925,RFA,,
"Keller, Clayton",ARI,Center,1.673,1.673,0.900,0.925,0.833,RFA,
"Moore, John",NJD,Defence,1.667,0.000,1.950,UFA,,,
"Grabner, Michael",NYR,Right,1.650,0.000,1.650,UFA,,,
"Holden, Nick",NYR,Defence,1.650,0.000,1.800,UFA,,,
"Meier, Timo",SJS,Right,1.644,1.644,0.925,0.833,RFA,,
"Ritchie, Nick",ANA,Left,1.627,0.000,0.833,RFA,,,
"Rantanen, Mikko",COL,Right,1.627,1.627,0.925,0.833,RFA,,
"Brown, Logan",OTT,Center,1.604,1.604,0.925,0.925,0.833,RFA,
"Crouse, Lawson",ARI,Left,1.603,1.603,0.925,0.833,RFA,,
"Clifford, Kyle",LAK,Left,1.600,1.600,1.700,1.800,1.900,UFA,
"McCabe, Jake",BUF,Defence,1.600,1.600,1.775,1.775,RFA,,
"Ehlers, Nikolaj",WPG,Left,1.594,0.000,0.833,RFA,,,
"Prout, Dalton",NJD,Defence,1.575,0.000,1.900,UFA,,,
"Richards, Mike",LAK,Center,1.570,1.570,1.570,1.570,1.570,0.700,0.900
"Schmaltz, Nick ",CHI,Center,1.542,1.542,0.925,0.925,RFA,,
"Slepyshev, Anton",EDM,Left,1.525,0.000,0.925,RFA,,,
"Umberger, R.J.",PHI,Center,1.500,0.000,1.500,,,,
"Maroon, Patrick",EDM,Left,1.500,0.000,2.100,UFA,,,
"Jankowski, Mark",CGY,Center,1.494,0.000,0.925,RFA,,,
"Boeser, Brock",VAN,Right,1.492,1.492,0.925,0.925,RFA,,
"Bellemare, Pierre-Edouard",PHI,Left,1.450,1.450,1.450,1.450,UFA,,
"Marchenko, Alexey",TOR,Defence,1.450,0.000,1.600,UFA,,,
"Larkin, Dylan",DET,Center,1.425,0.000,0.925,RFA,,,
"McLeod, Michael",NJD,Center,1.425,1.425,0.925,0.925,RFA,,
"Davidson, Brandon",MTL,Defence,1.425,0.000,1.550,RFA,,,
"Kunin, Luke",MIN,Center,1.425,1.425,0.925,0.925,0.925,RFA,
"Bean, Jake",CAR,Defence,1.394,1.394,0.925,0.925,0.833,RFA,
"MacKenzie, Derek",FLA,Center,1.375,1.375,1.650,1.100,UFA,,
"Pulock, Ryan",NYI,Defence,1.363,0.000,0.833,RFA,,,
"Domi, Max",ARI,Center,1.363,0.000,0.833,RFA,,,
"Morrissey, Joshua",WPG,Defence,1.363,0.000,0.833,RFA,,,
"Honka, Julius",DAL,Defence,1.363,1.363,0.833,0.833,RFA,,
"Vrana, Jakub",WAS,Left,1.363,1.363,0.833,0.833,RFA,,
"Fiala, Kevin",NAS,Left,1.363,1.363,0.833,0.833,RFA,,
"Perlini, Brendan",ARI,Left,1.363,1.363,0.833,0.833,RFA,,
"Morin, Samuel",PHI,Defence,1.363,0.000,0.833,RFA,,,
"Caggiula, Drake",EDM,Left,1.350,0.000,0.925,RFA,,,
"Tuch, Alex",MIN,Right,1.350,1.350,0.925,0.925,RFA,,
"Hammond, Andrew",OTT,Goaltender,1.350,0.000,1.500,UFA,,,
"Fasching, Hudson",BUF,Right,1.350,0.000,0.925,RFA,,,
"Chychrun, Jakob",ARI,Defence,1.350,1.350,0.925,0.925,RFA,,
"Simek, Radim",SJS,Defence,1.350,0.000,0.925,RFA,,,
"Haapala, Henrik",FLA,Left,1.350,1.350,0.925,0.925,RFA,,
"Rutta, Jan",CHI,Defence,1.350,0.000,0.925,UFA,,,
"McLeod, Cody",NAS,Left,1.333,0.000,1.250,UFA,,,
"Gleason, Tim",TOR,Defence,1.333,0.000,1.333,,,,
"Smith-Pelly, Devante",NJD,Right,1.300,0.000,1.350,RFA,,,
"Sanheim, Travis",PHI,Defence,1.294,1.294,0.925,0.833,RFA,,
"Barzal, Mathew",NYI,Center,1.294,1.294,0.925,0.833,RFA,,
"DeBrusk, Jake ",BOS,Left,1.288,1.288,0.925,0.833,0.833,RFA,
"Senyshyn, Zachary ",BOS,Right,1.288,1.288,0.925,0.833,0.833,RFA,
"Zboril, Jakub",BOS,Defence,1.288,1.288,0.925,0.833,0.833,RFA,
"White, Colin (b. 1997)",OTT,Center,1.285,1.285,0.925,0.925,RFA,,
"Nordstrom, Joakim",CAR,Center,1.275,0.000,1.300,RFA,,,
"Milano, Sonny",CLB,Left,1.263,1.263,0.833,0.833,RFA,,
"DeAngelo, Anthony",ARI,Defence,1.263,1.263,0.833,0.833,RFA,,
"McAvoy, Charlie ",BOS,Defence,1.258,1.258,0.925,0.925,RFA,,
"Marincin, Martin",TOR,Defence,1.250,0.000,1.300,RFA,,,
"Condra, Erik",TBL,Right,1.250,0.000,1.500,UFA,,,
"Condra, Erik",TBL,Right,1.250,0.000,1.500,UFA,,,
"Seidenberg, Dennis",NYI,Defence,1.250,0.000,1.250,UFA,,,
"Brown, J.T.",TBL,Right,1.250,0.000,1.250,UFA,,,
"Vermette, Antoine",ARI,Center,1.250,0.000,1.250,,,,
"Schenn, Luke",ARI,Defence,1.250,0.000,1.500,UFA,,,
"Chabot, Thomas",OTT,Defence,1.223,1.223,0.925,0.833,0.833,RFA,
"Rychel, Kerby",TOR,Left,1.213,0.000,0.833,RFA,,,
"Schmaltz, Jordan",STL,Defence,1.208,0.000,0.925,RFA,,,
"Mitchell, Torrey",MTL,Center,1.200,0.000,1.300,UFA,,,
"Khudobin, Anton",BOS,Goaltender,1.200,0.000,1.200,UFA,,,
"Kessel, Phil",TOR,Right,1.200,1.200,1.200,1.200,1.200,1.200,1.200
"Gauthier, Julien",CAR,Right,1.194,1.194,0.925,0.925,0.833,RFA,
"Stalberg, Viktor",NAS,Left,1.167,1.167,1.167,1.167,,,
"Byron, Paul",MTL,Center,1.167,1.167,1.200,1.000,UFA,,
"Bortuzzo, Robert",STL,Defence,1.150,1.150,1.150,1.150,UFA,,
"Hutchinson, Michael",WPG,Goaltender,1.150,0.000,1.300,UFA,,,
"Stewart, Chris",MIN,Right,1.150,0.000,1.100,UFA,,,
"Rubtsov, German ",PHI,Center,1.137,1.137,0.925,0.925,0.925,RFA,
"Merrill, Jon",NJD,Defence,1.137,0.000,1.275,RFA,,,
"Lindblom, Oskar",PHI,Left,1.137,1.137,0.925,0.925,0.925,RFA,
"Reaves, Ryan",STL,Right,1.125,0.000,1.125,UFA,,,
"Hutton, Carter",STL,Goaltender,1.125,0.000,1.000,UFA,,,
"Lowry, Adam",WPG,Left,1.125,0.000,1.250,RFA,,,
"Machovsky, Matej",DET,Goaltender,1.108,0.000,0.926,RFA,,,
"Eriksson Ek, Joel",MIN,Center,1.107,1.107,0.925,0.833,RFA,,
"Beauvillier, Anthony ",NYI,Left,1.107,1.107,0.925,0.833,RFA,,
"Stanley, Logan",WPG,Defence,1.107,1.107,0.925,0.925,0.833,RFA,
"McCann, Jared",FLA,Center,1.107,0.000,0.833,RFA,,,
"Fabbri, Robby",STL,Center,1.107,0.000,0.833,RFA,,,
"Konecny, Travis",PHI,Center,1.107,1.107,0.925,0.833,RFA,,
"Roslovic, Jack",WPG,Center,1.107,1.107,0.925,0.925,0.833,RFA,
"Svechnikov, Evgeny",DET,Left,1.107,1.107,0.925,0.833,RFA,,
"Borowiecki, Mark",OTT,Defence,1.100,0.000,1.000,UFA,,,
"Benn, Jordie",MTL,Defence,1.100,1.100,1.100,1.100,UFA,,
"Fischer, Christian",ARI,Right,1.076,1.076,0.818,0.815,0.833,RFA,
"McCarron, Michael",MTL,Right,1.076,0.000,0.833,RFA,,,
"Ho-Sang, Joshua",NYI,Center,1.076,1.076,0.833,0.833,RFA,,
"Shinkaruk, Hunter",CGY,Center,1.076,0.000,0.833,RFA,,,
"Merkley, Nicholas",ARI,Center,1.076,1.076,0.925,0.833,0.833,RFA,
"Goldobin, Nikolai",VAN,Left,1.076,1.076,0.833,0.833,RFA,,
"Benning, Matt",EDM,Defence,1.075,0.000,0.925,RFA,,,
"Kivelnieks, Matiss",CLB,Goaltender,1.067,1.067,0.925,0.925,0.925,RFA,
"Bjork, Anders",BOS,Center,1.067,1.067,0.925,0.925,0.925,RFA,
"Scherbak, Nikita",MTL,Right,1.063,1.063,0.833,0.833,RFA,,
"Juulsen, Noah",MTL,Defence,1.063,1.063,0.925,0.833,0.833,RFA,
"Montoya, Al",MTL,Goaltender,1.062,1.062,1.000,1.125,UFA,,
"Dvorak, Christian",ARI,Left,1.052,1.052,0.892,0.833,RFA,,
"Domingue, Louis ",ARI,Goaltender,1.050,0.000,1.100,RFA,,,
"Edmundson, Joel",STL,Defence,1.050,0.000,1.200,RFA,,,
"Raymond, Mason",CGY,Left,1.050,0.000,1.050,,,,
"Lemieux, Brendan",WPG,Left,1.039,1.039,0.892,0.833,RFA,,
"McCoshen, Ian",FLA,Defence,1.025,1.025,0.925,0.925,RFA,,
"Compher, J.T.",COL,Left,1.000,1.000,0.925,0.925,RFA,,
"Raanta, Antti",NYR,Goaltender,1.000,0.000,1.000,UFA,,,
"Korpikoski, Lauri",EDM,Left,1.000,0.000,1.000,,,,
"Pickard, Calvin",COL,Goaltender,1.000,0.000,1.075,RFA,,,
"Nystrom, Eric",NAS,Left,1.000,0.000,1.000,,,,
"Jaskin, Dmitrij",STL,Right,1.000,0.000,1.000,RFA,,,
"Wisniewski, James",CAR,Defence,1.000,0.000,1.000,,,,
"Miller, Colin",BOS,Defence,1.000,0.000,1.100,RFA,,,
"Karlsson, William",CLB,Center,1.000,0.000,1.000,RFA,,,
"Connauton, Kevin",ARI,Defence,1.000,0.000,1.050,UFA,,,
"MacEwen, Zack",VAN,Center,0.996,0.996,0.792,0.825,0.925,RFA,
"Heinen, Danton",BOS,Center,0.996,0.996,0.925,0.925,RFA,,
"Manning, Brandon",PHI,Defence,0.975,0.000,1.000,UFA,,,
"Toews, Devon",NYI,Defence,0.963,0.000,0.925,RFA,,,
"Brodziak, Kyle",STL,Center,0.950,0.000,0.900,UFA,,,
"Sceviour, Colton",FLA,Center,0.950,0.000,0.950,UFA,,,
"Nolan, Jordan",LAK,Center,0.950,0.000,1.000,UFA,,,
"McAdam, Eamon",NYI,Goaltender,0.950,0.950,0.925,0.925,RFA,,
"Ingram, Connor",TBL,Goaltender,0.925,0.925,0.743,0.743,0.792,RFA,
"Vigneault, Sam",CLB,Center,0.925,0.925,0.925,0.925,RFA,,
"Kuokkanen, Janne",CAR,Center,0.925,0.925,0.792,0.843,0.892,RFA,
"Mantha, Ryan",EDM,Defence,0.925,0.925,0.843,0.843,0.925,RFA,
"Highmore, Matthew",CHI,Center,0.925,0.925,0.743,0.767,0.818,RFA,
"Mitchell, Mason",WAS,Center,0.925,0.925,0.843,0.925,RFA,,
"Johansen, Lucas",WAS,Defence,0.925,0.925,0.925,0.925,0.925,RFA,
"Day, Sean",NYR,Defence,0.925,0.925,0.743,0.743,0.843,RFA,
"Wagner, Austin",LAK,Left,0.925,0.925,0.743,0.743,0.792,RFA,
"Clague, Kale",LAK,Defence,0.925,0.925,0.767,0.792,0.818,RFA,
"Bindulis, Kris",WAS,Defence,0.925,0.925,0.743,0.792,0.843,RFA,
"Gustafsson, Hampus",WAS,Center,0.925,0.925,0.843,0.925,RFA,,
"Thompson, Tage",STL,Right,0.925,0.925,0.925,0.925,0.925,RFA,
"Meloche, Nicolas ",COL,Defence,0.925,0.925,0.792,0.843,0.925,RFA,
"Duke, Reid",VGK,Center,0.925,0.925,0.743,0.743,0.825,RFA,
"Vay, Adam",MIN,Goaltender,0.925,0.000,0.843,RFA,,,
"Koppanen, Joona",BOS,Center,0.925,0.925,0.743,0.743,0.818,RFA,
"ORegan, Danny",SJS,Center,0.925,0.000,0.925,RFA,,,
"Grzelcyk, Matt",BOS,Defence,0.925,0.000,0.925,RFA,,,
"Bengtsson, Lukas",PIT,Defence,0.925,0.000,0.743,RFA,,,
"Stromwall, Malte",NYR,Left,0.925,0.000,0.743,RFA,,,
"Anas, Sam",MIN,Center,0.925,0.000,0.792,RFA,,,
"Lammikko, Juho",FLA,Right,0.925,0.925,0.743,0.743,RFA,,
"Jacobs, Josh",NJD,Defence,0.925,0.925,0.743,0.767,RFA,,
"Wood, Miles",NJD,Left,0.925,0.925,0.925,0.925,RFA,,
"Nutivaara, Markus",CLB,Defence,0.925,0.000,0.843,RFA,,,
"Laplante, Yan-Pavel ",VAN,Center,0.925,0.925,0.792,0.925,RFA,,
"Kirkland, Justin",NAS,Left,0.925,0.925,0.743,0.743,RFA,,
"Collins, Ryan",CLB,Defence,0.925,0.925,0.792,0.925,0.925,RFA,
"Cholowski, Dennis",DET,Defence,0.925,0.925,0.925,0.925,0.925,RFA,
"Hayden, John",CHI,Center,0.925,0.000,0.925,RFA,,,
"Motte, Tyler",CHI,Center,0.925,0.925,0.925,0.925,RFA,,
"Cirelli, Anthony ",TBL,Center,0.925,0.925,0.743,0.743,RFA,,
"Roy, Matt",LAK,Left,0.925,0.925,0.182,0.925,RFA,,
"Parsons, Tyler",CGY,Goaltender,0.925,0.925,0.743,0.743,0.792,RFA,
"Iafallo, Alex",LAK,Center,0.925,0.925,0.925,0.925,RFA,,
"Lindholm, Anton",COL,Defence,0.925,0.925,0.743,0.743,RFA,,
"Spencer, Matt",TBL,Defence,0.925,0.925,0.743,0.792,RFA,,
"Stecher, Troy",VAN,Defence,0.925,0.000,0.925,RFA,,,
"Aston-Reese, Zach",PIT,Center,0.925,0.925,0.925,0.925,RFA,,
"Yan, Dennis",TBL,Left,0.925,0.925,0.743,0.743,RFA,,
"Guentzel, Jake",PIT,Center,0.925,0.925,0.743,0.792,RFA,,
"Molino, Griffen",VAN,Center,0.925,0.925,0.925,0.925,RFA,,
"Sanford, Zachary",STL,Left,0.925,0.925,0.875,0.875,RFA,,
"Nell, Chris",NYR,Goaltender,0.925,0.925,0.925,0.925,RFA,,
"Gilmour, Adam",MIN,Center,0.925,0.000,0.743,RFA,,,
"Scott, Justin ",CLB,Right,0.925,0.925,0.743,0.843,RFA,,
"Malone, Sean",BUF,Center,0.925,0.000,0.843,RFA,,,
"Graves, Jacob",CLB,Defence,0.925,0.925,0.743,0.843,RFA,,
"Kloos, Justin",MIN,Center,0.925,0.000,0.792,RFA,,,
"Dube, Dillon",CGY,Center,0.925,0.925,0.743,0.743,0.892,RFA,
"Joseph, Mathieu ",TBL,Right,0.925,0.925,0.743,0.743,RFA,,
"Pesce, Brett",CAR,Defence,0.925,0.000,0.892,RFA,,,
"Sadowy, Dylan",DET,Defence,0.925,0.925,0.925,0.925,RFA,,
"Forsbacka Karlsson, Jakob",BOS,Center,0.925,0.925,0.925,0.925,RFA,,
"Stephens, Mitchell ",TBL,Center,0.925,0.925,0.925,0.925,RFA,,
"Johnson, Luke",CHI,Center,0.925,0.925,0.743,0.743,RFA,,
"Buchnevich, Pavel",NYR,Left,0.925,0.925,0.925,0.925,RFA,,
"Bischoff, Jake",NYI,Defence,0.925,0.925,0.743,0.925,RFA,,
"Lyon, Alex",PHI,Goaltender,0.925,0.000,0.925,RFA,,,
"OGara, Rob",BOS,Defence,0.925,0.000,0.925,RFA,,,
"Fitzpatrick, Evan",STL,Goaltender,0.925,0.925,0.743,0.743,0.868,RFA,
"Husso, Ville",STL,Goaltender,0.925,0.925,0.925,0.925,RFA,,
"Fitzgerald, Ryan",BOS,Center,0.925,0.925,0.743,0.843,RFA,,
"Johansson, Emil",BOS,Defence,0.925,0.925,0.743,0.767,0.843,RFA,
"Carlsson, Gabriel",CLB,Defence,0.925,0.925,0.925,0.925,RFA,,
"Soucy, Carson ",MIN,Defence,0.925,0.925,0.925,0.925,RFA,,
"Snuggerud, Luc",CHI,Defence,0.925,0.925,0.743,0.743,0.818,RFA,
"Lettieri, Vinni",NYR,Center,0.925,0.925,0.925,0.925,RFA,,
"Hajek, Libor",TBL,Defence,0.925,0.925,0.743,0.925,0.925,RFA,
"Louis, Anthony ",CHI,Left,0.925,0.925,0.743,0.807,RFA,,
"Kapla, Michael",NJD,Defence,0.925,0.925,0.925,0.925,RFA,,
"Hronek, Filip",DET,Defence,0.925,0.925,0.743,0.767,RFA,,
"Taylor, Jeff",PIT,Defence,0.925,0.925,0.743,0.743,RFA,,
"Zborovskiy, Sergey",NYR,Defence,0.925,0.925,0.743,0.792,RFA,,
"Renouf, Dan",DET,Defence,0.925,0.000,0.843,RFA,,,
"Abramov, Vitaly",CLB,Left,0.925,0.925,0.743,0.843,RFA,,
"Thompson, Keaton ",ANA,Defence,0.925,0.925,0.767,0.925,RFA,,
"Schoenborn, Alex",SJS,Right,0.925,0.925,0.743,0.743,RFA,,
"Hintz, Roope",DAL,Left,0.925,0.925,0.743,0.767,0.925,RFA,
"Lehkonen, Artturi ",MTL,Left,0.925,0.925,0.925,0.925,RFA,,
"Roy, Kevin",ANA,Center,0.925,0.000,0.925,RFA,,,
"Healey, Josh",CGY,Defence,0.925,0.925,0.792,0.925,RFA,,
"DeBrincat, Alex",CHI,Center,0.925,0.925,0.792,0.892,RFA,,
"Russell, Patrick",EDM,Right,0.925,0.000,0.925,RFA,,,
"Englund, Andreas",OTT,Defence,0.925,0.925,0.792,0.792,RFA,,
"Pilon, Garrett",WAS,Center,0.925,0.925,0.743,0.792,0.792,RFA,
"Smith, Givani",DET,Left,0.925,0.925,0.743,0.767,RFA,,
"Bastian, Nathan",NJD,Right,0.925,0.925,0.743,0.792,RFA,,
"Gignac, Brandon",NJD,Center,0.925,0.925,0.743,0.743,RFA,,
"Forsling, Gustav",CHI,Defence,0.925,0.925,0.925,0.925,RFA,,
"Maguire, Sean",PIT,Goaltender,0.925,0.000,0.743,RFA,,,
"Santini, Steven",NJD,Defence,0.925,0.925,0.925,0.925,RFA,,
"Iacopelli, Matheson",CHI,Right,0.925,0.925,0.743,0.743,RFA,,
"Looke, Jens",ARI,Right,0.925,0.925,0.743,0.743,0.818,RFA,
"Bayreuther, Gavin",DAL,Defence,0.925,0.925,0.925,0.925,RFA,,
"Armia,\u00a0Joel",WPG,Right,0.925,0.000,0.975,RFA,,,
"Laberge, Pascal",PHI,Center,0.925,0.925,0.843,0.868,RFA,,
"Heatherington, Dillon",DAL,Defence,0.925,0.000,0.828,RFA,,,
"Pedrie, Vince",NYR,Defence,0.925,0.925,0.743,0.792,RFA,,
"Kujawinski, Ryan",NJD,Center,0.925,0.000,0.743,RFA,,,
"Johnsson, Andreas",TOR,Left,0.925,0.000,0.843,RFA,,,
"Montour, Brandon",ANA,Defence,0.925,0.000,0.925,RFA,,,
"Blidh, Anton",BOS,Center,0.925,0.000,0.868,RFA,,,
"Hickman, Justin",BOS,Right,0.925,0.000,0.843,RFA,,,
"Gillies, Jon",CGY,Goaltender,0.925,0.000,0.925,RFA,,,
"Hinostroza, Vinnie",CHI,Center,0.925,0.000,0.818,RFA,,,
"Moutrey, Nick",CLB,Center,0.925,0.000,0.743,RFA,,,
"Shore, Devin",DAL,Center,0.925,0.000,0.925,RFA,,,
"Matheson, Michael",FLA,Defence,0.925,0.000,0.925,RFA,,,
"Lintuniemi, Alex",LAK,Defence,0.925,0.000,0.777,RFA,,,
"Bertschy, Christoph",MIN,Center,0.925,0.000,0.892,RFA,,,
"Labbe, Dylan",MIN,Defence,0.925,0.000,0.743,RFA,,,
"Skjei, Brady",NYR,Defence,0.925,0.000,0.925,RFA,,,
"Tambellini, Adam",NYR,Center,0.925,0.000,0.925,RFA,,,
"Howden, Brett",TBL,Center,0.925,0.925,0.925,0.925,RFA,,
"Subban, Jordan",VAN,Defence,0.925,0.000,0.830,RFA,,,
"Barber, Riley",WAS,Right,0.925,0.000,0.743,RFA,,,
"Hill, Adin",ARI,Goaltender,0.925,0.925,0.743,0.767,RFA,,
"Slavin, Jaccob",CAR,Defence,0.925,0.000,0.792,RFA,,,
"Smith, Hunter",CGY,Right,0.925,0.000,0.743,RFA,,,
"Simon, Dominik",PIT,Center,0.925,0.000,0.743,RFA,,,
"Soshnikov, Nikita",TOR,Right,0.925,0.000,0.800,RFA,,,
"Saros, Juuse",NAS,Goaltender,0.925,0.000,0.743,RFA,,,
"Bunting, Michael",ARI,Left,0.925,0.000,0.743,RFA,,,
"Dougherty, Jack",NAS,Defence,0.925,0.000,0.767,RFA,,,
"Sprong, Daniel",PIT,Right,0.925,0.000,0.743,RFA,,,
"Vatrano, Frank",BOS,Center,0.925,0.000,0.843,RFA,,,
"Smith, C.J.",BUF,Left,0.925,0.000,0.925,RFA,,,
"Hults, Mitch",ANA,Center,0.925,0.925,0.743,0.925,RFA,,
"Montembeault, Samuel",FLA,Goaltender,0.925,0.925,0.743,0.767,RFA,,
"Dahlstrom, Carl",CHI,Defence,0.925,0.925,0.743,0.818,RFA,,
"Dahlen, Jonathan",VAN,Center,0.925,0.925,0.925,0.925,0.925,RFA,
"Cehlarik, Peter",BOS,Left,0.925,0.925,0.743,0.792,RFA,,
"Harkins, Jansen",WPG,Center,0.925,0.925,0.743,0.743,0.818,RFA,
"Pribyl, Daniel",CGY,Right,0.925,0.000,0.925,RFA,,,
"Kuraly, Sean",BOS,Center,0.925,0.000,0.925,RFA,,,
"Hawryluk, Jayce",FLA,Center,0.925,0.000,0.925,RFA,,,
"Martin, Jonathon",SJS,Center,0.925,0.925,0.792,0.892,RFA,,
"Lappin, Nick",NJD,Right,0.925,0.000,0.843,RFA,,,
"Poturalski, Andrew",CAR,Center,0.925,0.000,0.925,RFA,,,
"Labanc, Kevin",SJS,Right,0.925,0.925,0.743,0.743,RFA,,
"Amadio, Michael",LAK,Center,0.925,0.925,0.743,0.743,RFA,,
"Perron, Francis",OTT,Left,0.925,0.925,0.730,0.730,RFA,,
"Maletta, Jordan",CLB,Center,0.925,0.925,0.792,0.892,RFA,,
"Blueger, Theodor",PIT,Center,0.925,0.000,0.743,RFA,,,
"Hansson, Niklas",DAL,Defence,0.925,0.925,0.767,0.802,RFA,,
"Cornel, Eric",BUF,Center,0.925,0.925,0.743,0.743,RFA,,
"Brodzinski, Michael ",SJS,Defence,0.925,0.925,0.743,0.925,RFA,,
"Parisi, Tom",MTL,Defence,0.925,0.000,0.767,RFA,,,
"Wood, Kyle",ARI,Defence,0.925,0.925,0.743,0.743,RFA,,
"Seeler, Nick",MIN,Defence,0.925,0.000,0.743,RFA,,,
"Lucia, Mario",MIN,Left,0.925,0.000,0.818,RFA,,,
"Nieves, Cristoval",NYR,Center,0.925,0.000,0.767,RFA,,,
"Carlson, Adam",WAS,Goaltender,0.925,0.000,0.743,RFA,,,
"Schempp, Kyle",NYI,Center,0.925,0.000,0.743,RFA,,,
"Prow, Ethan",PIT,Defence,0.925,0.000,0.767,RFA,,,
"Downing, Michael",FLA,Defence,0.925,0.925,0.792,0.925,RFA,,
"MacEachern, MacKenzie",STL,Left,0.925,0.000,0.925,RFA,,,
"Kossila, Kalle",ANA,Center,0.925,0.000,0.925,RFA,,,
"Norell, Robin",CHI,Defence,0.925,0.925,0.743,0.743,RFA,,
"Walman, Jake",STL,Defence,0.925,0.925,0.925,0.925,0.925,RFA,
"Ellis, Nick",EDM,Goaltender,0.925,0.000,0.925,RFA,,,
"Kovacs, Robin",NYR,Right,0.925,0.925,0.743,0.925,RFA,,
"Kyrou, Jordan",STL,Center,0.925,0.925,0.743,0.925,RFA,,
"Di Pauli, Thomas",PIT,Left,0.925,0.000,0.792,RFA,,,
"Gilmour, John",NYR,Defence,0.925,0.000,0.743,RFA,,,
"Bracco, Jeremy ",TOR,Right,0.925,0.925,0.843,0.843,0.843,RFA,
